trip_id,duration,start_time,end_time,bike_id,trip_route_category,plan_duration,passholder_type,bike_type,start_station,end_station,start_lat,start_lon,end_lat,end_lon,taxicab_distance
171380782,3,9/21/2021 8:38,9/21/2021 8:41,12142,One Way,365,Annual Pass,standard,4475,3062,34.045181,-118.243248,34.047749,-118.243172,0.002644
171380783,6,9/21/2021 8:37,9/21/2021 8:43,6238,One Way,30,Monthly Pass,standard,4448,4245,34.03027,-118.273193,34.02404,-118.283409,0.016446
171380784,11,9/21/2021 8:31,9/21/2021 8:42,6459,One Way,30,Monthly Pass,standard,3066,4491,34.063389,-118.23616,34.04744,-118.24794,0.027729
171380786,16,9/21/2021 8:25,9/21/2021 8:41,6713,One Way,1,Walk-up,standard,4494,3005,34.075981,-118.256012,34.0485,-118.258537,0.030006
171380788,17,9/21/2021 8:25,9/21/2021 8:42,20067,Round Trip,30,Monthly Pass,standard,3014,3014,34.05661,-118.237213,34.05661,-118.237213,0
171380982,7,9/21/2021 8:47,9/21/2021 8:54,15113,Round Trip,30,Monthly Pass,standard,3047,3047,34.039982,-118.266403,34.039982,-118.266403,0
171380983,6,9/21/2021 8:45,9/21/2021 8:51,16992,One Way,365,Annual Pass,electric,3016,3007,34.052898,-118.241562,34.05048,-118.254593,0.015449
171380985,17,9/21/2021 8:37,9/21/2021 8:54,15153,One Way,30,Monthly Pass,standard,4216,4209,34.023392,-118.479637,33.996239,-118.477448,0.029342
171381083,11,9/21/2021 8:46,9/21/2021 8:57,20067,One Way,1,Walk-up,standard,3014,3036,34.05661,-118.237213,34.039188,-118.232529,0.022106
171381085,10,9/21/2021 8:45,9/21/2021 8:55,16178,One Way,1,Walk-up,standard/smart,3057,3034,34.035679,-118.270813,34.042061,-118.263382,0.013813
171383682,6,9/21/2021 9:02,9/21/2021 9:08,17174,One Way,30,Monthly Pass,electric,4568,4567,34.029121,-118.403168,34.02018,-118.40403,0.009803
171383690,32,9/21/2021 8:34,9/21/2021 9:06,13822,Round Trip,1,Walk-up,standard,3042,3042,34.049301,-118.238808,34.049301,-118.238808,0
171383782,4,9/21/2021 9:09,9/21/2021 9:13,16901,One Way,365,Annual Pass,electric,4518,4440,34.057968,-118.299751,34.061661,-118.298241,0.005203
171383784,14,9/21/2021 9:00,9/21/2021 9:14,15380,One Way,30,Monthly Pass,standard,4577,4580,33.993019,-118.414909,33.982922,-118.410927,0.014079
171383785,20,9/21/2021 8:53,9/21/2021 9:13,15122,One Way,30,Monthly Pass,standard,4248,3010,34.028351,-118.288673,34.037048,-118.254868,0.042502
171383801,52,9/21/2021 8:21,9/21/2021 9:13,20016,One Way,30,Monthly Pass,standard,3078,4509,34.064281,-118.238937,34.101639,-118.309174,0.107595
171383882,5,9/21/2021 9:10,9/21/2021 9:15,6401,One Way,30,Monthly Pass,standard,4583,4581,33.976189,-118.418419,33.970242,-118.426071,0.013599
171383982,7,9/21/2021 9:13,9/21/2021 9:20,5840,One Way,365,Annual Pass,standard,3034,3032,34.042061,-118.263382,34.049889,-118.255882,0.015328
171383984,14,9/21/2021 9:10,9/21/2021 9:24,19293,One Way,30,Monthly Pass,electric,4410,4512,34.063351,-118.296799,34.043812,-118.264969,0.051369
171383986,20,9/21/2021 9:03,9/21/2021 9:23,5905,One Way,30,Monthly Pass,standard,4454,3032,34.017899,-118.291718,34.049889,-118.255882,0.067826
171384082,14,9/21/2021 9:15,9/21/2021 9:29,13317,One Way,30,Monthly Pass,standard,3006,4486,34.04554,-118.256668,34.06126,-118.258598,0.01765
171384086,17,9/21/2021 9:10,9/21/2021 9:27,6274,One Way,30,Monthly Pass,standard,4486,3042,34.06126,-118.258598,34.049301,-118.238808,0.031749
171384182,8,9/21/2021 9:25,9/21/2021 9:33,17312,One Way,30,Monthly Pass,electric,4512,4266,34.043812,-118.264969,34.026291,-118.277687,0.030239
171384184,19,9/21/2021 9:13,9/21/2021 9:32,19331,One Way,365,Annual Pass,electric,4440,3006,34.061661,-118.298241,34.04554,-118.256668,0.057694
171384191,32,9/21/2021 9:02,9/21/2021 9:34,12135,One Way,1,Walk-up,standard,4214,4211,33.99556,-118.481552,33.984928,-118.469963,0.022221
171384284,24,9/21/2021 9:15,9/21/2021 9:39,13770,One Way,30,Monthly Pass,standard,4255,4583,33.97366,-118.422859,33.976189,-118.418419,0.006969
171384386,7,9/21/2021 9:36,9/21/2021 9:43,15537,One Way,30,Monthly Pass,standard/smart,4479,4245,34.031502,-118.288742,34.02404,-118.283409,0.012795
171384387,8,9/21/2021 9:34,9/21/2021 9:42,15772,One Way,30,Monthly Pass,standard,4479,4454,34.031502,-118.288742,34.017899,-118.291718,0.016579
171384388,12,9/21/2021 9:30,9/21/2021 9:42,13336,One Way,365,Annual Pass,standard,3019,4245,34.038609,-118.260857,34.02404,-118.283409,0.037121
171384486,8,9/21/2021 9:38,9/21/2021 9:46,12076,One Way,30,Monthly Pass,standard,4250,4249,34.03017,-118.280952,34.020302,-118.281181,0.010097
171384487,10,9/21/2021 9:37,9/21/2021 9:47,12135,One Way,30,Monthly Pass,standard,4211,4547,33.984928,-118.469963,33.9897,-118.448883,0.025852
171384704,21,9/21/2021 9:34,9/21/2021 9:55,5871,One Way,1,Walk-up,standard,4314,3027,34.057709,-118.279762,34.04998,-118.247162,0.040329
171384710,29,9/21/2021 9:26,9/21/2021 9:55,6004,One Way,30,Monthly Pass,standard,4518,4482,34.057968,-118.299751,34.094372,-118.331009,0.067662
171387483,8,9/21/2021 10:16,9/21/2021 10:24,19991,One Way,30,Monthly Pass,standard,4576,4572,34.022579,-118.40551,34.02948,-118.410469,0.01186
171387584,13,9/21/2021 10:13,9/21/2021 10:26,6184,One Way,1,Walk-up,standard,4204,4207,33.988419,-118.45163,34.000881,-118.46891,0.029742
171387682,5,9/21/2021 10:25,9/21/2021 10:30,12197,One Way,365,Annual Pass,standard,4300,3035,34.04887,-118.2743,34.048401,-118.260948,0.013821
171387684,15,9/21/2021 10:17,9/21/2021 10:32,12198,One Way,30,Monthly Pass,standard,3014,3037,34.05661,-118.237213,34.034801,-118.231277,0.027745
